Ecotype,Recording,Maximum.Frequency..kHz.,Minimum.Frequency..kHz.,Fundamental.frequency.Start..kHz.,Fundamental.frequency.End..kHz.,Delta.Frequency..kHz.,Peak.Frequency..kHz.,Duration..s.
Coastal,2018_0143sel.11_1,10.14892454,7.030161885,7.030161885,9.858968852,3.118762655,8.8125,0.526
Coastal,3-10ZOOM310sel.20,21.28482763,5.866751329,6.276757491,21.28482763,15.4180763,14.25498047,0.569
Coastal,12-18ZOOM0093sel.23-1,17.83778188,3.752474204,3.911755174,17.83778188,14.08530768,7.149023438,0.786
Coastal,12-15ZOOM0100sel.37,17.93071439,4.865807286,4.865807286,17.93071439,13.0649071,12.83378906,0.188
Coastal,3-10ZOOM310sel.15,12.20670793,8.937044625,8.937044625,11.35021636,3.269663305,11.62792969,0.469
Coastal,3-18ZOOM0093sel.39,11.65758009,5.288093948,5.288093948,11.65758009,6.369486142,6.890625,0.455
Coastal,Cc 000_0012sel.20,13.49535129,8.204016419,12.97868377,8.204016419,5.291334871,11.45566406,0.511
Coastal,3-18ZOOM0093sel.26,21.61275425,4.365526825,4.365526825,21.61275425,17.24722743,9.173144531,0.905
Coastal,12-15ZOOM0100sel.34-1,18.99011939,6.003412387,16.24476837,18.99011939,12.986707,12.10166016,2.067
Coastal,2018_0128sel.12,14.72260943,5.942217328,5.942217328,14.72260943,8.780392102,9.1875,0.711
Coastal,2018_0207sel.01,13.12695857,7.021258619,7.874729536,13.12695857,6.105699951,8.34375,0.643
Coastal,12-15ZOOM0100sel.12,17.93071439,9.413721901,10.55382108,17.93071439,8.516992489,10.3359375,0.819
Coastal,3-18ZOOM0093sel.12-1,13.89630544,9.31377057,9.31377057,13.89630544,4.58253487,11.24033203,0.517
Coastal,DR0000_0366.wavsel.14,16.61211818,7.030161885,7.307183788,16.61211818,9.581956295,8.484375,0.937
Coastal,ZOOM0071sel.03,14.04528756,3.562462305,3.562462305,14.04528756,10.48282526,8.397949219,0.7
Coastal,12-18ZOOM0093sel.05,16.6725942,3.364543101,3.364543101,16.6725942,13.3080511,12.57539063,0.737
Coastal,DR0000_0366.wavsel.09,20.34907692,6.023189204,6.023189204,20.34907692,14.32588772,8.578125,0.261
Coastal,12-15ZOOM0091sel.04,13.49535129,9.972274759,10.26855641,13.49535129,3.523076531,10.37900391,0.395
Coastal,Cc 000_0017sel.22,19.21714651,6.380789681,6.675717865,19.21714651,12.83635683,8.527148438,0.383
Coastal,Cc 000_0020sel.03,9.31377057,5.392323437,9.31377057,5.830194182,3.921447133,5.727832031,0.549
Coastal,Cc 000_0017sel.10,19.74526777,10.58420205,10.68028472,19.74526777,9.16106572,11.24033203,0.468
Coastal,12-18ZOOM0093sel.30,16.32962475,3.993913372,3.993913372,16.32962475,12.33571138,6.115429688,0.888
Coastal,Cc 000_0055sel.08,14.72260943,8.559903442,10.11428773,10.76738442,6.162705988,11.203125,0.94
Coastal,2018_0143sel.28_1,14.51037194,6.081667633,8.950962384,14.51037194,8.428704307,6.796875,0.688
Coastal,2018_0128sel.51,18.13709965,10.00935637,17.21559658,18.13709965,8.12774328,12,0.822
Coastal,12-17ZOOM0096sel.02,16.89145522,9.497347025,9.497347025,16.89145522,7.394108195,11.28339844,0.425
Coastal,12-15ZOOM0100sel.68,21.28482763,3.417404031,3.63728434,21.28482763,17.8674236,8.570214844,0.7
Coastal,2018_0154sel.10-01,19.95962424,5.415874187,5.965273076,5.521548858,14.54375005,5.90625,1.086
Coastal,DR0000_0366.wavsel.61,13.1739734,11.28698537,11.28698537,13.1739734,1.88698803,11.671875,0.023
Coastal,ZOOM0139sel.11,17.39330944,16.89145522,17.2243895,17.39330944,0.50185422,17.26962891,0.109
Coastal,2018_0207sel.12,18.71351184,8.471098143,16.3409129,9.304693781,10.2424137,11.671875,0.927
Coastal,2018_0143sel.34-01,12.72262297,8.383214161,10.65567746,12.72262297,4.339408809,9.703125,0.853
Coastal,DR0000_0366.wavsel.35,15.83758132,9.50080468,15.34975332,15.83758132,6.33677664,9.703125,0.51
Coastal,3-10ZOOM314sel.19,15.1051502,7.297614522,11.58860381,15.1051502,7.807535678,9.431542969,0.691
Coastal,2018_0143sel.33_1,12.59063126,5.523882915,5.523882915,12.59063126,7.066748345,6.234375,0.759
Coastal,PR_19042017_58sel.04,9.133742507,6.003412387,7.737420617,9.045037637,3.13033012,6.589160156,0.423
Coastal,3-18ZOOM0093sel.47,19.95750005,5.009706627,5.38774096,19.95750005,14.94779342,8.290283203,0.944
Coastal,ZOOM0254sel.06,21.1745112,6.856460743,7.607375777,21.1745112,14.31805046,7.105957031,0.467
Coastal,PR_10042018_274sel.03,19.3082429,11.70424591,12.20281557,19.3082429,7.60399699,14.15625,0.538
Coastal,DR0000_0366.wavsel.49,19.57762513,15.37643307,17.60362343,19.57762513,4.20119206,16.078125,0.436
Coastal,2018_0143sel.25_1,20.74612861,5.907913843,5.907913843,20.74612861,14.83821477,10.96875,0.806
Coastal,ZOOM0254sel.10,17.56186433,8.353264964,9.561622548,17.56186433,9.208599366,9.474609375,0.344
Coastal,12-15ZOOM0100sel.72,17.38029446,7.76715272,8.353264964,17.38029446,9.61314174,8.139550781,0.793
Coastal,3-18ZOOM431sel.05,21.61923732,4.790542231,4.790542231,21.61923732,16.82869509,14.64257813,0.362
Coastal,PR_21042017_77sel.37,10.78204951,7.44119462,8.045439055,10.78204951,3.34085489,7.5796875,0.859
Coastal,3-15ZOOM372sel.12,11.77067441,9.172287213,9.364931833,11.77067441,2.598387197,9.689941406,0.08
Coastal,3-15ZOOM372sel.06,10.22984998,3.63728434,3.63728434,10.22984998,6.59256564,7.278222656,0.06
Coastal,2018_0143sel.15_1,20.54664369,6.507226381,6.507226381,20.54664369,14.03941731,8.203125,0.386
Coastal,Cc 000_0017sel.21,21.41832019,7.576068571,8.144071298,21.41832019,13.84225162,9.216210938,0.404
Coastal,Cc 000_0017sel.30-02,21.61275425,10.02558836,15.0564215,21.61275425,11.58716589,11.19726563,0.774
Coastal,DR0000_0366.wavsel.37,12.33074169,9.304693781,9.90551362,12.33074169,3.026047909,12.046875,0.42
Coastal,2018_0241sel.12,15.51066982,6.526959278,8.831944331,15.51066982,8.983710542,8.390625,0.87
Coastal,12-15ZOOM0100sel.06,17.1114534,7.489703719,7.971601191,17.1114534,9.621749681,14.4703125,0.198
Coastal,3-9ZOOM294sel.01,14.87150142,6.509274044,7.528724094,14.87150142,8.362227376,8.397949219,0.093
Coastal,3-10ZOOM0310sel.42-2,16.0870028,9.133742507,15.77605334,9.133742507,6.953260293,14.55644531,0.441
Coastal,DR0000_0366.wavsel.38-01,16.17138299,10.65567746,13.54414429,16.17138299,5.51570553,13.078125,0.382
Coastal,2018_0154sel.12,17.26671486,4.822968794,4.822968794,6.634195543,12.44374607,6.515625,1.261
Coastal,12-15ZOOM0091sel.03,15.77605334,9.972274759,11.21127137,15.77605334,5.803778581,9.99140625,0.37
Coastal,PR_21042017_77sel.28,13.89630544,5.288093948,9.045037637,13.89630544,8.608211492,5.469433594,0.586
Coastal,3-10ZOOM314sel.3,16.41469995,5.74606726,5.74606726,9.462766159,10.66863269,7.795019531,0.757
Coastal,12-17ZOOM0091sel.13.,13.61413875,4.891157505,5.046056522,13.61413875,8.722981245,8.354882813,0.828
Coastal,12-17ZOOM0091sel.08,17.29021471,5.928040581,5.928040581,17.29021471,11.36217413,9.99140625,0.441
