Ecotype,Recording,Maximum Frequency (kHz),Minimum Frequency (kHz),Fundamental frequency Start (kHz),Fundamental frequency End (kHz),Delta Frequency (kHz),Peak Frequency (kHz),Duration (s)
Oceanic,PICEAS-050807-093000sel.09_1,20.29505278,13.97426272,18.35909771,20.29505278,6.320790059,15.234375,0.54
Oceanic,HICEAS021126-131649sel.01_1,20.68610721,10.59105417,10.59105417,20.68610721,10.09505304,15.38085938,0.956
Oceanic,piceas-050827-085800sel.02_1,15.81705558,14.26102779,14.93274444,14.67722088,1.556027793,15.38085938,0.424
Oceanic,Acst0958-b29sel.01_1,15.63609999,6.828572459,6.828572459,15.54640002,8.807527533,15.38085938,1.202
Oceanic,HICEAS021119-142433sel.03_1,19.85538848,9.280735617,9.280735617,19.76517065,10.57465286,15.45410156,0.323
Oceanic,ACST1720sel.08-2_1,18.62897263,6.565503835,11.9767873,6.565503835,12.06346879,15.49072266,1.18
Oceanic,ACST1729sel.01_1,16.17619881,6.965939898,6.965939898,11.9767873,9.210258907,15.49072266,0.961
Oceanic,PICEAS-050807-100000sel.19_1,21.10191944,10.69609617,10.69609617,21.10191944,10.40582326,15.515625,0.508
Oceanic,piceas-050827-082324sel04_1,16.94762518,11.26440334,11.26440334,16.94762518,5.683221838,15.57617188,1.127
Oceanic,piceas-050827-090200sel.03-1_1,15.90831719,14.0169984,14.17921622,15.90831719,1.891318789,15.57617188,0.755
Oceanic,HICEAS020823-132803sel.04_1,16.4745335,13.60113331,13.60113331,15.3145204,2.87340019,15.63720703,0.317
Oceanic,ACST1718sel.02-2_1,18.97143515,11.70715142,11.70715142,12.99993264,7.264283735,15.67382813,0.816
Oceanic,HICEAS020823-133303sel.10_1,16.02957393,12.24594678,12.24594678,12.35822458,3.783627157,15.67382813,0.54
Oceanic,PICEAS-050807-113000sel.26_1,20.86816733,10.99814458,10.99814458,20.86816733,9.870022748,15.703125,0.758
Oceanic,ACST1721sel.04-1_1,16.10269828,10.88444053,12.42118125,10.98403104,5.218257744,15.74707031,0.669
Oceanic,piceas-050827-095600sel.02_1,21.95562917,13.46371215,14.50930562,18.58174361,8.491917022,15.8203125,0.994
Oceanic,HICEAS020823-132903 sel.03_1,15.81162135,7.212683253,7.212683253,8.696670806,8.598938096,15.85693359,0.884
Oceanic,HICEAS020823-133603sel.04_1,19.41601091,9.927203115,13.60113331,19.41601091,9.488807795,16.04003906,1.609
Oceanic,HICEAS020823-132803sel.18_1,18.04888103,7.212683253,7.345549534,7.212683253,10.83619778,16.07666016,0.907
Oceanic,HICEAS020823-132603sel.02_1,20.6969341,10.97558759,11.59338007,20.6969341,9.721346512,16.36962891,0.554
Oceanic,ACST1720sel.08-3_1,19.32019328,8.948697731,13.17876042,16.32420787,10.37149555,16.55273438,1.251
Oceanic,ACST1721sel.02-1_1,18.79942409,5.779484341,14.70084335,11.03416749,13.01993975,16.58935547,1.246
Oceanic,HICEAS021119-142433sel.04_1,19.49696928,7.949439552,9.846776142,8.132528852,11.54752973,17.06542969,1.188
Oceanic,ACST1721sel.06-2_1,19.32019328,6.417693293,11.92236783,10.35261558,12.90249999,17.13867188,1.322
Oceanic,ACST1720sel.05-2_1,19.14502008,6.747377072,11.18595409,6.747377072,12.39764301,17.28515625,1.197
Oceanic,ACST1740sel.02-1_1,18.97143515,6.840194357,18.88523379,8.867561275,12.1312408,18.09082031,1.49
Oceanic,HICEAS020823-132903 sel.06_1,18.54989387,8.158438077,8.158438077,18.54989387,10.39145579,18.49365234,1.18
Oceanic,ACST1721sel.04-2_1,19.32019328,9.625093639,17.88086491,14.04636815,9.695099644,18.78662109,1.081
Oceanic,HICEAS021119-143615sel.01_1,21.25914004,9.625093639,9.625093639,9.757496948,11.63404641,19.18945313,1.249
Oceanic,HICEAS020823-132903 sel.04_1,21.36874525,10.06404294,12.70127239,10.39071627,11.3047023,20.32470703,1.189
