Ecotype,Recording,Maximum Frequency (kHz),Minimum Frequency (kHz),Fundamental frequency Start (kHz),Fundamental frequency End (kHz),Delta Frequency (kHz),Peak Frequency (kHz),Duration (s)
Oceanic,ACST1720sel.11-1_1,15.45604142,5.522184193,5.522184193,12.08637257,9.933857226,11.97509766,0.854
Oceanic,PICEAS-050811-183000sel.27_1,21.21977554,7.743431196,7.743431196,21.21977554,13.47634435,12,0.553
Oceanic,PICEAS-050811-183000sel.39_1,20.98471791,11.43539579,13.74271147,16.15170434,9.549322127,12,0.608
Oceanic,PICEAS-050807-100000sel.15_1,13.59047945,8.465149751,8.465149751,10.06046891,5.125329701,12,0.956
Oceanic,PICEAS-050807-113000sel.05-2_1,20.40840246,8.096252507,8.096252507,20.40840246,12.31214995,12.046875,0.737
Oceanic,HICEAS020823-132803sel.15-1_1,21.17460443,9.102728913,9.927203115,15.52562078,12.07187552,12.04833984,1.048
Oceanic,HICEAS020823-132803sel.15-2_1,16.77801418,11.48805108,13.35511605,16.77801418,5.289963097,12.04833984,0.385
Oceanic,Acst1636-b07sel.06_1,12.85807668,3.122627728,3.122627728,5.092151085,9.735448955,12.06054688,0.773
Oceanic,PICEAS-050811-183000sel.17_1,18.77269541,11.3718828,18.77269541,16.15170434,7.400812606,12.09375,0.465
Oceanic,PICEAS-050811-183000sel.31_1,17.26808816,8.371378823,8.418133722,17.26808816,8.89670934,12.09375,0.513
Oceanic,piceas-050827-082400sel.06_1,20.25654978,10.63462511,12.13919823,10.63462511,9.621924674,12.15820313,1.308
Oceanic,piceas-050827-152600sel.17_1,18.90524308,9.64375061,11.13553254,9.64375061,9.261492473,12.15820313,0.722
Oceanic,PICEAS-050807-100000sel.33_1,21.57730801,11.75832137,11.75832137,21.57730801,9.818986639,12.1875,0.71
Oceanic,PICEAS-050807-100000sel.59_1,21.33828989,10.69609617,10.93706013,10.69609617,10.64219371,12.1875,0.836
Oceanic,ACST1335-810sel.01_1,12.82353145,10.39986994,12.76526459,10.39986994,2.423661508,12.19482422,0.491
Oceanic,PICEAS-050807-100000sel.32_1,21.81900346,8.051285359,10.99814458,21.81900346,13.7677181,12.234375,0.929
Oceanic,piceas-050827-082000sel.02_1,14.26102779,12.350536,12.56555306,13.61952683,1.910491791,12.25585938,0.923
Oceanic,Acst0958-b29sel.03-2_1,16.00010535,8.745200221,9.052350517,16.00010535,7.254905134,12.3046875,2.016
Oceanic,Acst1624-b07sel.05-1_1,15.81705558,7.027857164,7.027857164,15.81705558,8.789198416,12.3046875,0.477
Oceanic,ACST1720sel.11-3_1,17.96248185,7.526666407,7.526666407,17.96248185,10.43581544,12.34130859,0.589
Oceanic,Acst1638-b07sel.02_1,19.45697272,6.263987898,6.263987898,19.45697272,13.19298482,12.35351563,0.683
Oceanic,piceas-050827-152000sel.04_1,18.58174361,11.93147679,12.56555306,18.58174361,6.650266817,12.35351563,1.098
Oceanic,piceas-050827-082000sel.06_1,13.46371215,12.06955901,13.46371215,12.06955901,1.394153136,12.35351563,1.055
Oceanic,PICEAS-050807-113000sel.29_1,21.45746614,6.336591938,6.336591938,7.572828881,15.1208742,12.375,1.134
Oceanic,HICEAS021009-131051sel.01_1,14.10684713,9.228203919,9.228203919,9.972608399,4.878643207,12.41455078,0.646
Oceanic,PICEAS-050807-100000sel.50_1,21.57730801,11.82399265,14.85716614,21.57730801,9.753315364,12.46875,1.33
Oceanic,PICEAS-050807-100000sel.17_1,13.81946574,10.46044111,11.56348791,11.8900307,3.359024629,12.46875,0.589
Oceanic,Acst1626-b07sel.05_1,21.70444502,8.745200221,19.23437453,21.70444502,12.95924479,12.5,1.033
Oceanic,Acst1620-b07sel.02_1,20.72811831,4.919372124,4.919372124,20.72811831,15.80874619,12.5,0.796
Oceanic,Acst1628-b07sel.03-2_1,14.26102779,8.897450069,10.09798631,13.77714475,5.363577718,12.5,0.707
Oceanic,HICEAS021119-142433sel.01-3_1,20.40540929,7.77047218,7.77047218,11.13512797,12.63493711,12.56103516,1.053
Oceanic,PICEAS-050807-113000sel.09-2_1,20.98471791,9.050249381,10.46044111,9.050249381,11.93446853,12.5625,0.966
Oceanic,PICEAS-050811-183000sel.10_1,19.95876707,11.24591315,11.24591315,19.95876707,8.712853923,12.5625,0.55
Oceanic,PICEAS-050807-100000sel.24_1,17.07680452,12.15789187,13.43993375,17.07680452,4.918912656,12.5625,0.881
Oceanic,HICEAS021119-142333sel.09-3_1,18.29269206,8.948697731,12.19696052,10.02779266,9.343994327,12.59765625,0.944
Oceanic,piceas-050827-152600sel.25_1,19.45697272,11.13553254,11.13553254,19.45697272,8.321440182,12.64648438,0.615
Oceanic,Acst1628-b07sel.02_1,18.26377974,10.04005696,10.04005696,18.26377974,8.223722785,12.64648438,0.405
Oceanic,Acst1649-b07sel.01-1_1,19.90992725,6.828572459,6.828572459,19.90992725,13.08135479,12.6953125,0.898
Oceanic,Acst1636-b07sel.08_1,15.63609999,6.483992665,12.7109734,15.63609999,9.152107328,12.6953125,1.017
Oceanic,PICEAS-050807-113000sel.10_1,19.30281992,11.12133889,11.12133889,19.30281992,8.181481031,12.703125,1.659
Oceanic,Acst1636-b07sel.10-2_1,17.84827537,6.33648063,6.33648063,17.84827537,11.51179474,12.74414063,0.687
Oceanic,ACST1718sel.03_1,18.29269206,6.104118201,6.131980358,11.28830339,12.18857386,12.78076172,0.974
Oceanic,piceas-050827-152600sel.28_1,20.37342648,10.21484966,12.56555306,12.13919823,10.15857682,12.79296875,1.254
Oceanic,Acst1628-b07sel.04_1,16.56206357,7.705494933,7.705494933,16.56206357,8.856568635,12.79296875,0.919
